Vs,Vg,Vd,Id,Is,Qs,Qd,Ig,Qg,Vb,Ib,Qb
6.00E-01,7.00E-01,2.00E-02,-1.11E-04,1.11E-04,9.36E-16,-1.57E-15,3.86E-32,4.84E-15,0.00E+00,8.66E-15,-3.82E-15
6.00E-01,9.00E-01,1.70E-01,-1.10E-04,1.10E-04,8.60E-16,-1.67E-15,8.69E-32,5.28E-15,0.00E+00,-2.09E-15,-4.08E-15
6.00E-01,1.00E+00,2.40E-01,-1.09E-04,1.09E-04,8.25E-16,-1.77E-15,1.67E-31,5.56E-15,0.00E+00,-8.78E-15,-4.23E-15
6.00E-01,1.10E+00,2.80E-01,-1.09E-04,1.09E-04,7.94E-16,-2.02E-15,-3.03E-31,6.05E-15,0.00E+00,-3.94E-16,-4.43E-15
6.00E-01,8.00E-01,1.00E-01,-1.09E-04,1.09E-04,8.97E-16,-1.60E-15,-5.41E-31,5.04E-15,0.00E+00,7.22E-16,-3.95E-15
3.00E-01,9.00E-01,1.00E-02,-1.09E-04,1.09E-04,7.01E-16,-2.64E-15,-2.25E-31,6.64E-15,0.00E+00,-1.38E-16,-4.31E-15
3.00E-01,1.10E+00,4.00E-02,-1.08E-04,1.08E-04,6.50E-16,-3.50E-15,3.35E-31,8.05E-15,0.00E+00,-3.69E-16,-4.81E-15
6.00E-01,1.20E+00,3.10E-01,-1.08E-04,1.08E-04,7.65E-16,-2.37E-15,3.80E-31,6.64E-15,0.00E+00,-3.12E-16,-4.65E-15
6.00E-01,7.00E-01,3.00E-02,-1.08E-04,1.08E-04,9.36E-16,-1.53E-15,2.92E-32,4.81E-15,0.00E+00,8.14E-15,-3.82E-15
3.00E-01,1.00E+00,3.00E-02,-1.07E-04,1.07E-04,6.75E-16,-3.05E-15,-7.73E-32,7.32E-15,0.00E+00,-1.18E-16,-4.55E-15
3.00E-01,1.20E+00,5.00E-02,-1.07E-04,1.07E-04,6.25E-16,-3.97E-15,-1.61E-33,8.80E-15,0.00E+00,2.99E-19,-5.07E-15
6.00E-01,8.00E-01,1.10E-01,-1.07E-04,1.07E-04,8.97E-16,-1.56E-15,-1.21E-31,5.00E-15,0.00E+00,6.52E-16,-3.95E-15
6.00E-01,9.00E-01,1.80E-01,-1.07E-04,1.07E-04,8.59E-16,-1.63E-15,1.24E-31,5.24E-15,0.00E+00,-2.24E-15,-4.08E-15
6.00E-01,1.00E+00,2.50E-01,-1.06E-04,1.06E-04,8.24E-16,-1.73E-15,-1.42E-31,5.53E-15,0.00E+00,-8.39E-15,-4.23E-15
6.00E-01,1.10E+00,2.90E-01,-1.06E-04,1.06E-04,7.93E-16,-1.99E-15,-4.38E-31,6.02E-15,0.00E+00,-4.18E-16,-4.43E-15
3.00E-01,9.00E-01,2.00E-02,-1.06E-04,1.06E-04,7.01E-16,-2.61E-15,-1.41E-31,6.61E-15,0.00E+00,-1.02E-16,-4.31E-15
6.00E-01,7.00E-01,4.00E-02,-1.05E-04,1.05E-04,9.35E-16,-1.50E-15,-1.42E-31,4.77E-15,0.00E+00,7.68E-15,-3.82E-15
3.00E-01,8.00E-01,-9.40E-34,-1.05E-04,1.05E-04,7.27E-16,-2.24E-15,-2.58E-32,5.97E-15,0.00E+00,-1.98E-16,-4.07E-15
