Vs,Vg,Vd,Is,Ig,Id,Ib,Qs,Qg,Qd,Qb,y
0.5,1.4,0.115384615,0.000130209,-1.28756E-31,-0.000130209,-2.69943E-16,7.45107E-16,9.4091E-15,-4.08341E-15,-5.68245E-15,0
0.5,1.15,0.038461538,0.000130185,4.12022E-31,-0.000130185,-4.28895E-16,8.08585E-16,7.93531E-15,-3.28983E-15,-5.06602E-15,0
0.7,1.35,0.230769231,0.000129885,1.93135E-31,-0.000129885,-4.3333E-16,8.65574E-16,7.98839E-15,-3.14163E-15,-5.3242E-15,0
0.6,1.15,0.076923077,0.000129826,1.07833E-30,-0.000129826,-7.58985E-16,8.6773E-16,7.59225E-15,-3.06187E-15,-5.0101E-15,0
0.6,1.4,0.192307692,0.000129289,-3.54086E-31,-0.000129289,-3.15599E-16,7.99553E-16,8.76632E-15,-3.62864E-15,-5.54898E-15,0
0.4,1.4,0.038461538,0.000129032,-3.34762E-31,-0.000129032,-1.64173E-16,6.88639E-16,1.00855E-14,-4.56234E-15,-5.82337E-15,0
0.4,1.2,9.02E-35,0.000129,-1.34E-31,-0.000129,-1.6E-16,7.37E-16,8.72E-15,-3.79E-15,-5.29E-15,0
0.4,1.2,5.63794E-34,0.000128912,1.03002E-31,-0.000128912,-1.73871E-16,7.36842E-16,8.72472E-15,-3.7868E-15,-5.28662E-15,0
0.6,1.2,0.115384615,0.000127954,-5.66528E-31,-0.000127954,-6.06335E-16,8.53014E-16,7.73224E-15,-3.09917E-15,-5.09804E-15,0
0.5,1.35,0.115384615,0.00012693,-4.44212E-31,-0.00012693,-2.58648E-16,7.57228E-16,9.04434E-15,-3.86295E-15,-5.55035E-15,0
0.4,1.35,0.038461538,0.000126512,1.03005E-31,-0.000126512,-2.05799E-16,7.00397E-16,9.70816E-15,-4.33373E-15,-5.68648E-15,0
0.5,1.05,2.2E-34,0.000126,6.44E-32,-0.000126,-2.09E-16,8.36E-16,7.48E-15,-3.07E-15,-4.87E-15,0
0.5,1.05,3.73584E-34,0.00012559,1.80264E-31,-0.00012559,-2.06957E-16,8.36209E-16,7.48483E-15,-3.06675E-15,-4.86636E-15,0
0.7,1.15,0.115384615,0.000125535,-7.33918E-31,-0.000125535,-5.79648E-16,9.27142E-16,7.31892E-15,-2.87358E-15,-4.9845E-15,0
0.7,1.4,0.269230769,0.000125534,1.15883E-31,-0.000125534,-3.98885E-16,8.51171E-16,8.17069E-15,-3.20535E-15,-5.42835E-15,0
0.7,1.1,0.076923077,0.000125507,5.79401E-31,-0.000125507,-2.64716E-16,9.43893E-16,7.21303E-15,-2.85498E-15,-4.914E-15,0
0.5,1.2,0.076923077,0.00012537,1.67384E-31,-0.00012537,-3.59822E-16,7.95123E-16,8.12438E-15,-3.3554E-15,-5.17602E-15,0
